msoa11cd,age_total,age0to4pc,age5to14pc,age16to24pc,age25to44pc,age45to64pc,age75pluspc,nssec_total,1_higher_managerial,2_lower_managerial,3_intermediate_occupations,4_employers_small_org,5_lower_supervisory,6_semi_routine,7_routine,8_unemployed,avg_dwn_speed,avb_superfast,no_decent_bband,bband_speed_under2mbs,bband_speed_under10mbs,bband_speed_over30mbs
E02002364,5768,0.060852982,0.099341193,0.120319001,0.261269071,0.258148405,0.091712899,3798,0.035281727,0.125065824,0.125855714,0.056345445,0.100842549,0.240652975,0.203791469,0.112164297,70.7,0.983,0.005,0.008,0.157,0.63
E02002366,7767,0.066563667,0.112656109,0.102871121,0.284150895,0.220419724,0.09578988,4836,0.16356493,0.238420182,0.138130687,0.11745244,0.052522746,0.11497105,0.075682382,0.099255583,83.1,0.986,0.01,0.024,0.163,0.805
E02002367,5915,0.081825866,0.10989011,0.127134404,0.3306847,0.206593407,0.048351648,3829,0.080438757,0.16557848,0.118046487,0.066597023,0.068425176,0.202925046,0.155915383,0.142073648,64,0.986,0.001,0.003,0.136,0.616
E02002368,7952,0.070422535,0.073943662,0.078219316,0.321302817,0.260311871,0.073943662,5660,0.182862191,0.290636042,0.160600707,0.099646643,0.069611307,0.105300353,0.068551237,0.022791519,71.1,0.982,0.001,0.014,0.158,0.742
E02002369,6939,0.071624153,0.117163856,0.118893212,0.269347168,0.228995532,0.070183023,4449,0.055293324,0.140705777,0.126320521,0.076871207,0.078444594,0.221173297,0.192627557,0.108563722,83.2,1,0,0.01,0.134,0.78
E02002370,6653,0.088982414,0.110175861,0.124455133,0.285886066,0.210732001,0.072749136,4303,0.041831281,0.146177086,0.14943063,0.062979317,0.099233093,0.222867767,0.195212642,0.082268185,71.4,0.999,0,0.003,0.13,0.697
E02002371,9614,0.07021011,0.113168296,0.131995007,0.327127106,0.207197836,0.054815893,6094,0.095175583,0.205776173,0.125533311,0.076960945,0.063340991,0.147358057,0.12717427,0.15868067,64.1,0.991,0,0.004,0.024,0.588
E02002373,8559,0.010281575,0.014254002,0.70767613,0.155625657,0.06554504,0.022082019,2609,0.164430816,0.270218475,0.142966654,0.06362591,0.059409736,0.125718666,0.087773093,0.08585665,100.6,0.999,0,0,0.012,0.798
E02002374,6636,0.055003014,0.064195298,0.193188668,0.34358047,0.193942134,0.064044605,4416,0.129302536,0.249547101,0.144474638,0.068387681,0.065896739,0.151041667,0.119112319,0.072237319,71.5,1,0,0.002,0.104,0.728
E02002375,6386,0.0756342,0.09473849,0.265580958,0.252896962,0.187128093,0.041340432,3462,0.070768342,0.163200462,0.139803582,0.063258232,0.082900058,0.198151358,0.179664934,0.102253033,77.1,0.992,0,0.012,0.159,0.789
E02002376,6869,0.112388994,0.150094628,0.135536468,0.277915272,0.176153734,0.041636337,3943,0.036013188,0.118691352,0.11032209,0.08369262,0.076591428,0.20542734,0.183109308,0.186152676,67.9,0.999,0,0.011,0.212,0.698
E02002377,7067,0.097070893,0.143342295,0.154238008,0.337484081,0.14051224,0.031413613,4016,0.041832669,0.107818725,0.099601594,0.104830677,0.070717131,0.156623506,0.123007968,0.295567729,61.9,0.996,0.003,0.008,0.187,0.678
E02002379,5243,0.100324242,0.140377646,0.137516689,0.259012016,0.209422087,0.049208468,3191,0.032591664,0.110310248,0.116891257,0.057348793,0.085553118,0.237229709,0.207771858,0.152303353,78,0.966,0.034,0.004,0.133,0.697
E02002380,5270,0.056356736,0.077419355,0.102087287,0.277419355,0.271726755,0.090891841,3668,0.078244275,0.200926936,0.172300981,0.088876772,0.089967285,0.18565976,0.147764449,0.036259542,76.9,0.999,0.001,0.004,0.152,0.754
E02002381,6103,0.063083729,0.074553498,0.10191709,0.36801573,0.23496641,0.06013436,4444,0.114086409,0.241224122,0.151890189,0.085283528,0.082133213,0.158190819,0.119936994,0.047254725,66,0.997,0,0.002,0.101,0.692
E02002382,6001,0.123979337,0.128311948,0.142642893,0.356773871,0.142642893,0.027995334,3586,0.036252091,0.103457892,0.095370887,0.110150586,0.065532627,0.182654769,0.166480759,0.24010039,58.9,1,0,0.003,0.122,0.649
E02002383,7636,0.021870089,0.029596647,0.698402305,0.161995809,0.052907281,0.012572027,2163,0.079519186,0.192787795,0.157189089,0.067961165,0.072122053,0.16874711,0.116042534,0.145631068,101.8,0.998,0.002,0.002,0.056,0.822
E02002384,10792,0.061527057,0.047905856,0.39455152,0.313565604,0.107023721,0.026037806,4644,0.082472007,0.156976744,0.118863049,0.051033592,0.091300603,0.166451335,0.16171404,0.17118863,64.9,0.955,0.002,0.004,0.114,0.622
E02002385,7996,0.038394197,0.045397699,0.381065533,0.344672336,0.105802901,0.033141571,4492,0.112422084,0.25,0.158726625,0.060774711,0.069902048,0.14269813,0.107747106,0.097729297,80.7,0.994,0.006,0.001,0.078,0.783
E02002386,8343,0.045547165,0.067241999,0.090614887,0.223900276,0.297614767,0.126573175,5772,0.091995842,0.241337491,0.193347193,0.085758836,0.093901594,0.161642412,0.106722107,0.025294525,68.5,0.972,0.002,0.003,0.067,0.561
E02002387,5455,0.075343721,0.10192484,0.121173236,0.30852429,0.219248396,0.063611366,3687,0.072416599,0.165717385,0.138323841,0.064279902,0.086791429,0.200162734,0.185245457,0.087062653,77.2,0.994,0.006,0.007,0.177,0.77
E02002388,7357,0.077613158,0.095555254,0.118390648,0.341579448,0.217208101,0.056408862,5054,0.079936684,0.174910962,0.14008706,0.073605065,0.083893945,0.188761377,0.173130194,0.085674713,77.7,0.997,0.002,0.011,0.175,0.793
E02002389,6600,0.088030303,0.114242424,0.112121212,0.266666667,0.228636364,0.067878788,4138,0.037941034,0.123006283,0.107056549,0.065490575,0.08240696,0.223537941,0.22619623,0.134364427,66.2,0.999,0,0.007,0.162,0.6
E02002390,6055,0.064079273,0.093806771,0.117093311,0.281750619,0.255821635,0.070520231,4164,0.060999039,0.183237272,0.158981748,0.084053794,0.093179635,0.19092219,0.165946206,0.062680115,72.2,0.984,0.005,0.003,0.087,0.671
E02002391,7772,0.068322182,0.080288214,0.099073598,0.329258878,0.255404014,0.06369017,5595,0.11152815,0.233422699,0.17336908,0.092403932,0.084182306,0.15049151,0.122609473,0.031992851,71.2,0.992,0.001,0.003,0.079,0.704
E02002392,9275,0.022641509,0.021778976,0.677628032,0.196765499,0.050673854,0.011212938,2279,0.12856516,0.199648969,0.135146994,0.05792014,0.059236507,0.159280386,0.121983326,0.138218517,80.9,0.931,0.002,0.004,0.087,0.77
E02002393,7589,0.101726183,0.086572671,0.139412307,0.394913691,0.164843853,0.042693372,4994,0.047657189,0.130756908,0.088706448,0.063476171,0.07669203,0.186223468,0.203844614,0.202643172,55.3,0.991,0.008,0.004,0.239,0.607
E02002394,6773,0.102760963,0.105566219,0.121511885,0.322456814,0.209655987,0.042669423,4448,0.028327338,0.122526978,0.10881295,0.055980216,0.074865108,0.204586331,0.232688849,0.17221223,63.5,0.985,0.001,0.002,0.088,0.599
E02002395,6340,0.068454259,0.099684543,0.104258675,0.275867508,0.244479495,0.089116719,4113,0.112326769,0.241186482,0.157306103,0.105519086,0.06661804,0.144420131,0.111840506,0.060782884,65,0.97,0.029,0.002,0.195,0.634
E02002396,8466,0.057524215,0.080321285,0.127805339,0.327072998,0.237774628,0.070517364,5998,0.086528843,0.209569857,0.165388463,0.075025008,0.088196065,0.164221407,0.152717573,0.058352784,70.8,0.989,0.002,0.003,0.111,0.712
E02002397,7430,0.057200538,0.096500673,0.105652759,0.282637954,0.26487214,0.071332436,5169,0.076997485,0.196362933,0.164828787,0.094215516,0.083962082,0.180305668,0.153608048,0.049719482,74.4,1,0,0.007,0.178,0.747
E02002398,7443,0.047830176,0.087867795,0.094451162,0.231492678,0.284293967,0.105736934,5101,0.088217996,0.24387375,0.195451872,0.101744756,0.085473437,0.140756714,0.112722995,0.031758479,73.6,0.997,0.002,0.005,0.113,0.684
E02002399,6204,0.08833011,0.106866538,0.123629916,0.28868472,0.233720181,0.059638943,4046,0.038556599,0.1559565,0.155215027,0.055857637,0.08551656,0.212308453,0.203410776,0.093178448,67.8,0.96,0.04,0.003,0.093,0.611
