	lsoa11cd,imd_rank,imd_dec
E01000643,2011,1
E01000644,10775,4
E01000645,31081,10
E01000646,26185,8
E01000647,28453,9
E01000648,28942,9
E01000649,25707,8
E01000650,22579,7
E01000651,24779,8
E01000652,29124,9
E01000653,24777,8
E01000654,27153,9
E01000655,24376,8
E01000656,28540,9
E01000657,21964,7
E01000658,28425,9
E01000659,27441,9
E01000661,5014,2
E01000662,15994,5
E01000663,16476,6
E01000664,15225,5
E01000665,23013,8
E01000666,29934,10
E01000667,28484,9
E01000668,22745,7
E01000669,26111,8
E01000670,29576,10
E01000671,23784,8
E01000672,27582,9
E01000673,26712,9
E01000674,21905,7
E01000675,24305,8
E01000676,13716,5
E01000677,20694,7
E01000678,25871,8
E01000679,25999,8
E01000680,25580,8
E01000681,32415,10
E01000682,31181,10
E01000683,21817,7
E01000684,31879,10
E01000685,21456,7
E01000686,27949,9
E01000687,28847,9
E01000688,32463,10
E01000689,12957,4
E01000690,28098,9
E01000691,20929,7
E01000692,28643,9
E01000693,22520,7
E01000694,27349,9
E01000695,27622,9
E01000696,27929,9
E01000697,31919,10
E01000698,19941,7
E01000699,14234,5
E01000700,20231,7
E01000701,21278,7
E01000702,24366,8
E01000703,23918,8
E01000704,24111,8
E01000705,17604,6
E01000706,17373,6
E01000707,32027,10
E01000708,27232,9
E01000709,17782,6
E01000710,24099,8
E01000711,22423,7
E01000712,28325,9
E01000713,26931,9
E01000714,24549,8
E01000715,28816,9
E01000716,27657,9
E01000717,26511,9
E01000718,9395,3
E01000719,10496,4
E01000720,3404,2
E01000721,3421,2
E01000722,11642,4
E01000723,20244,7
E01000724,5486,2
E01000725,9089,3
E01000726,17771,6
E01000727,19463,6
E01000728,13215,5
E01000729,3993,2
E01000730,3782,2
E01000731,8144,3
E01000732,19583,6
E01000733,14387,5
E01000734,22209,7
E01000735,8001,3
E01000736,12857,4
E01000737,7000,3
E01000738,14203,5
E01000739,3608,2
E01000740,10368,4
E01000741,10835,4
E01000742,11887,4
E01000743,5959,2
E01000744,3807,2
E01000745,14848,5
E01000746,16568,6
E01000747,14131,5
E01000748,21419,7
E01000749,22952,7
E01000750,7689,3
E01000751,28683,9
E01000752,26565,9
E01000753,29304,9
E01000754,27768,9
E01000755,30441,10
E01000756,30572,10
