Lower layer Super Output Areas Code,Lower layer Super Output Areas,Age (5 categories) Code,Age (5 categories),Observation
E01002408,Hillingdon 019A,4,Aged 35 to 49 years,384
E01002408,Hillingdon 019A,5,Aged 50 years and over,462
E01002409,Hillingdon 019B,1,Aged 15 years and under,457
E01002409,Hillingdon 019B,2,Aged 16 to 24 years,220
E01002409,Hillingdon 019B,3,Aged 25 to 34 years,301
E01002409,Hillingdon 019B,4,Aged 35 to 49 years,406
E01002409,Hillingdon 019B,5,Aged 50 years and over,625
E01002410,Hillingdon 017A,1,Aged 15 years and under,413
E01002410,Hillingdon 017A,2,Aged 16 to 24 years,210
E01002410,Hillingdon 017A,3,Aged 25 to 34 years,272
E01002410,Hillingdon 017A,4,Aged 35 to 49 years,445
E01002410,Hillingdon 017A,5,Aged 50 years and over,598
E01002411,Hillingdon 022A,1,Aged 15 years and under,436
E01002411,Hillingdon 022A,2,Aged 16 to 24 years,394
E01002411,Hillingdon 022A,3,Aged 25 to 34 years,350
E01002411,Hillingdon 022A,4,Aged 35 to 49 years,388
E01002411,Hillingdon 022A,5,Aged 50 years and over,562
E01002412,Hillingdon 017B,1,Aged 15 years and under,399
E01002412,Hillingdon 017B,2,Aged 16 to 24 years,303
E01002412,Hillingdon 017B,3,Aged 25 to 34 years,387
E01002412,Hillingdon 017B,4,Aged 35 to 49 years,489
E01002412,Hillingdon 017B,5,Aged 50 years and over,745
E01002413,Hillingdon 022B,1,Aged 15 years and under,403
E01002413,Hillingdon 022B,2,Aged 16 to 24 years,180
E01002413,Hillingdon 022B,3,Aged 25 to 34 years,242
E01002413,Hillingdon 022B,4,Aged 35 to 49 years,344
E01002413,Hillingdon 022B,5,Aged 50 years and over,465
E01002414,Hillingdon 015A,1,Aged 15 years and under,193
E01002414,Hillingdon 015A,2,Aged 16 to 24 years,1537
E01002414,Hillingdon 015A,3,Aged 25 to 34 years,267
E01002414,Hillingdon 015A,4,Aged 35 to 49 years,286
E01002414,Hillingdon 015A,5,Aged 50 years and over,413
E01002415,Hillingdon 010A,1,Aged 15 years and under,357
E01002415,Hillingdon 010A,2,Aged 16 to 24 years,133
E01002415,Hillingdon 010A,3,Aged 25 to 34 years,208
E01002415,Hillingdon 010A,4,Aged 35 to 49 years,418
E01002415,Hillingdon 010A,5,Aged 50 years and over,598
E01002416,Hillingdon 008A,1,Aged 15 years and under,384
E01002416,Hillingdon 008A,2,Aged 16 to 24 years,165
E01002416,Hillingdon 008A,3,Aged 25 to 34 years,197
E01002416,Hillingdon 008A,4,Aged 35 to 49 years,384
E01002416,Hillingdon 008A,5,Aged 50 years and over,614
E01002417,Hillingdon 008B,1,Aged 15 years and under,299
E01002417,Hillingdon 008B,2,Aged 16 to 24 years,141
E01002417,Hillingdon 008B,3,Aged 25 to 34 years,232
E01002417,Hillingdon 008B,4,Aged 35 to 49 years,413
E01002417,Hillingdon 008B,5,Aged 50 years and over,695
E01002418,Hillingdon 006A,1,Aged 15 years and under,332
E01002418,Hillingdon 006A,2,Aged 16 to 24 years,184
E01002418,Hillingdon 006A,3,Aged 25 to 34 years,201
E01002418,Hillingdon 006A,4,Aged 35 to 49 years,380
E01002418,Hillingdon 006A,5,Aged 50 years and over,680
E01002419,Hillingdon 006B,1,Aged 15 years and under,333
E01002419,Hillingdon 006B,2,Aged 16 to 24 years,149
E01002419,Hillingdon 006B,3,Aged 25 to 34 years,203
E01002419,Hillingdon 006B,4,Aged 35 to 49 years,407
E01002419,Hillingdon 006B,5,Aged 50 years and over,596
E01002420,Hillingdon 008C,1,Aged 15 years and under,334
E01002420,Hillingdon 008C,2,Aged 16 to 24 years,106
E01002420,Hillingdon 008C,3,Aged 25 to 34 years,198
E01002420,Hillingdon 008C,4,Aged 35 to 49 years,386
E01002420,Hillingdon 008C,5,Aged 50 years and over,592
E01002421,Hillingdon 008D,1,Aged 15 years and under,338
E01002421,Hillingdon 008D,2,Aged 16 to 24 years,132
E01002421,Hillingdon 008D,3,Aged 25 to 34 years,194
E01002421,Hillingdon 008D,4,Aged 35 to 49 years,384
E01002421,Hillingdon 008D,5,Aged 50 years and over,655
E01002422,Hillingdon 018A,1,Aged 15 years and under,334
E01002422,Hillingdon 018A,2,Aged 16 to 24 years,194
E01002422,Hillingdon 018A,3,Aged 25 to 34 years,193
E01002422,Hillingdon 018A,4,Aged 35 to 49 years,330
E01002422,Hillingdon 018A,5,Aged 50 years and over,513
E01002423,Hillingdon 018B,1,Aged 15 years and under,355
E01002423,Hillingdon 018B,2,Aged 16 to 24 years,221
E01002423,Hillingdon 018B,3,Aged 25 to 34 years,242
E01002423,Hillingdon 018B,4,Aged 35 to 49 years,402
E01002423,Hillingdon 018B,5,Aged 50 years and over,601
E01002424,Hillingdon 018C,1,Aged 15 years and under,406
E01002424,Hillingdon 018C,2,Aged 16 to 24 years,172
E01002424,Hillingdon 018C,3,Aged 25 to 34 years,221
E01002424,Hillingdon 018C,4,Aged 35 to 49 years,396
E01002424,Hillingdon 018C,5,Aged 50 years and over,502
E01002425,Hillingdon 018D,1,Aged 15 years and under,418
E01002425,Hillingdon 018D,2,Aged 16 to 24 years,193
E01002425,Hillingdon 018D,3,Aged 25 to 34 years,235
E01002425,Hillingdon 018D,4,Aged 35 to 49 years,391
E01002425,Hillingdon 018D,5,Aged 50 years and over,455
E01002426,Hillingdon 021F,1,Aged 15 years and under,549
E01002426,Hillingdon 021F,2,Aged 16 to 24 years,257
E01002426,Hillingdon 021F,3,Aged 25 to 34 years,253
E01002426,Hillingdon 021F,4,Aged 35 to 49 years,464
E01002426,Hillingdon 021F,5,Aged 50 years and over,529
E01002427,Hillingdon 018E,1,Aged 15 years and under,300
E01002427,Hillingdon 018E,2,Aged 16 to 24 years,177
E01002427,Hillingdon 018E,3,Aged 25 to 34 years,196
E01002427,Hillingdon 018E,4,Aged 35 to 49 years,341
E01002427,Hillingdon 018E,5,Aged 50 years and over,581
E01002428,Hillingdon 018F,1,Aged 15 years and under,317
E01002428,Hillingdon 018F,2,Aged 16 to 24 years,177
E01002428,Hillingdon 018F,3,Aged 25 to 34 years,219
E01002428,Hillingdon 018F,4,Aged 35 to 49 years,332
E01002428,Hillingdon 018F,5,Aged 50 years and over,520
E01002429,Hillingdon 019C,1,Aged 15 years and under,351
E01002429,Hillingdon 019C,2,Aged 16 to 24 years,210
E01002429,Hillingdon 019C,3,Aged 25 to 34 years,234
E01002429,Hillingdon 019C,4,Aged 35 to 49 years,347
E01002429,Hillingdon 019C,5,Aged 50 years and over,430
E01002430,Hillingdon 007A,1,Aged 15 years and under,212
E01002430,Hillingdon 007A,2,Aged 16 to 24 years,146
E01002430,Hillingdon 007A,3,Aged 25 to 34 years,108
E01002430,Hillingdon 007A,4,Aged 35 to 49 years,234
E01002430,Hillingdon 007A,5,Aged 50 years and over,691
E01002431,Hillingdon 006C,1,Aged 15 years and under,245
E01002431,Hillingdon 006C,2,Aged 16 to 24 years,130
E01002431,Hillingdon 006C,3,Aged 25 to 34 years,102
E01002431,Hillingdon 006C,4,Aged 35 to 49 years,266
E01002431,Hillingdon 006C,5,Aged 50 years and over,596
E01002432,Hillingdon 006D,1,Aged 15 years and under,260
E01002432,Hillingdon 006D,2,Aged 16 to 24 years,113
E01002432,Hillingdon 006D,3,Aged 25 to 34 years,178
E01002432,Hillingdon 006D,4,Aged 35 to 49 years,319
E01002432,Hillingdon 006D,5,Aged 50 years and over,633
E01002433,Hillingdon 004A,1,Aged 15 years and under,504
E01002433,Hillingdon 004A,2,Aged 16 to 24 years,234
E01002433,Hillingdon 004A,3,Aged 25 to 34 years,386
E01002433,Hillingdon 004A,4,Aged 35 to 49 years,577
E01002433,Hillingdon 004A,5,Aged 50 years and over,796
E01002434,Hillingdon 007B,1,Aged 15 years and under,205
E01002434,Hillingdon 007B,2,Aged 16 to 24 years,134
E01002434,Hillingdon 007B,3,Aged 25 to 34 years,109
E01002434,Hillingdon 007B,4,Aged 35 to 49 years,204
E01002434,Hillingdon 007B,5,Aged 50 years and over,677
E01002435,Hillingdon 007C,1,Aged 15 years and under,284
E01002435,Hillingdon 007C,2,Aged 16 to 24 years,137
E01002435,Hillingdon 007C,3,Aged 25 to 34 years,119
E01002435,Hillingdon 007C,4,Aged 35 to 49 years,320
E01002435,Hillingdon 007C,5,Aged 50 years and over,676
E01002436,Hillingdon 004B,1,Aged 15 years and under,338
E01002436,Hillingdon 004B,2,Aged 16 to 24 years,147
E01002436,Hillingdon 004B,3,Aged 25 to 34 years,139
E01002436,Hillingdon 004B,4,Aged 35 to 49 years,385
E01002436,Hillingdon 004B,5,Aged 50 years and over,670
E01002437,Hillingdon 006E,1,Aged 15 years and under,189
E01002437,Hillingdon 006E,2,Aged 16 to 24 years,102
E01002437,Hillingdon 006E,3,Aged 25 to 34 years,81
E01002437,Hillingdon 006E,4,Aged 35 to 49 years,234
E01002437,Hillingdon 006E,5,Aged 50 years and over,812
E01002438,Hillingdon 003A,1,Aged 15 years and under,254
E01002438,Hillingdon 003A,2,Aged 16 to 24 years,112
E01002438,Hillingdon 003A,3,Aged 25 to 34 years,169
E01002438,Hillingdon 003A,4,Aged 35 to 49 years,284
E01002438,Hillingdon 003A,5,Aged 50 years and over,624
E01002439,Hillingdon 003B,1,Aged 15 years and under,291
E01002439,Hillingdon 003B,2,Aged 16 to 24 years,142
E01002439,Hillingdon 003B,3,Aged 25 to 34 years,203
E01002439,Hillingdon 003B,4,Aged 35 to 49 years,296
E01002439,Hillingdon 003B,5,Aged 50 years and over,617
E01002440,Hillingdon 003C,1,Aged 15 years and under,309
E01002440,Hillingdon 003C,2,Aged 16 to 24 years,130
E01002440,Hillingdon 003C,3,Aged 25 to 34 years,195
E01002440,Hillingdon 003C,4,Aged 35 to 49 years,312
E01002440,Hillingdon 003C,5,Aged 50 years and over,636
E01002441,Hillingdon 003D,1,Aged 15 years and under,275
E01002441,Hillingdon 003D,2,Aged 16 to 24 years,132
E01002441,Hillingdon 003D,3,Aged 25 to 34 years,209
E01002441,Hillingdon 003D,4,Aged 35 to 49 years,343
E01002441,Hillingdon 003D,5,Aged 50 years and over,641
E01002442,Hillingdon 003E,1,Aged 15 years and under,289
E01002442,Hillingdon 003E,2,Aged 16 to 24 years,181
E01002442,Hillingdon 003E,3,Aged 25 to 34 years,219
E01002442,Hillingdon 003E,4,Aged 35 to 49 years,336
E01002442,Hillingdon 003E,5,Aged 50 years and over,600
E01002443,Hillingdon 032A,1,Aged 15 years and under,386
E01002443,Hillingdon 032A,2,Aged 16 to 24 years,208
E01002443,Hillingdon 032A,3,Aged 25 to 34 years,393
E01002443,Hillingdon 032A,4,Aged 35 to 49 years,546
E01002443,Hillingdon 032A,5,Aged 50 years and over,508
E01002444,Hillingdon 031A,1,Aged 15 years and under,297
E01002444,Hillingdon 031A,2,Aged 16 to 24 years,186
E01002444,Hillingdon 031A,3,Aged 25 to 34 years,325
E01002444,Hillingdon 031A,4,Aged 35 to 49 years,438
E01002444,Hillingdon 031A,5,Aged 50 years and over,648
E01002445,Hillingdon 029A,1,Aged 15 years and under,482
E01002445,Hillingdon 029A,2,Aged 16 to 24 years,204
E01002445,Hillingdon 029A,3,Aged 25 to 34 years,255
E01002445,Hillingdon 029A,4,Aged 35 to 49 years,398
E01002445,Hillingdon 029A,5,Aged 50 years and over,430
E01002446,Hillingdon 031B,1,Aged 15 years and under,435
E01002446,Hillingdon 031B,2,Aged 16 to 24 years,174
E01002446,Hillingdon 031B,3,Aged 25 to 34 years,317
E01002446,Hillingdon 031B,4,Aged 35 to 49 years,483
E01002446,Hillingdon 031B,5,Aged 50 years and over,556
E01002447,Hillingdon 031C,1,Aged 15 years and under,396
E01002447,Hillingdon 031C,2,Aged 16 to 24 years,230
E01002447,Hillingdon 031C,3,Aged 25 to 34 years,412
E01002447,Hillingdon 031C,4,Aged 35 to 49 years,535
E01002447,Hillingdon 031C,5,Aged 50 years and over,500
E01002448,Hillingdon 032B,1,Aged 15 years and under,487
E01002448,Hillingdon 032B,2,Aged 16 to 24 years,192
E01002448,Hillingdon 032B,3,Aged 25 to 34 years,334
E01002448,Hillingdon 032B,4,Aged 35 to 49 years,523
E01002448,Hillingdon 032B,5,Aged 50 years and over,615
E01002449,Hillingdon 032C,1,Aged 15 years and under,470
E01002449,Hillingdon 032C,2,Aged 16 to 24 years,197
E01002449,Hillingdon 032C,3,Aged 25 to 34 years,401
E01002449,Hillingdon 032C,4,Aged 35 to 49 years,548
E01002449,Hillingdon 032C,5,Aged 50 years and over,533
E01002450,Hillingdon 014A,1,Aged 15 years and under,351
E01002450,Hillingdon 014A,2,Aged 16 to 24 years,160
E01002450,Hillingdon 014A,3,Aged 25 to 34 years,176
E01002450,Hillingdon 014A,4,Aged 35 to 49 years,359
E01002450,Hillingdon 014A,5,Aged 50 years and over,454
E01002451,Hillingdon 014B,1,Aged 15 years and under,318
E01002451,Hillingdon 014B,2,Aged 16 to 24 years,169
E01002451,Hillingdon 014B,3,Aged 25 to 34 years,188
E01002451,Hillingdon 014B,4,Aged 35 to 49 years,326
E01002451,Hillingdon 014B,5,Aged 50 years and over,502
E01002452,Hillingdon 014C,1,Aged 15 years and under,292
E01002452,Hillingdon 014C,2,Aged 16 to 24 years,181
E01002452,Hillingdon 014C,3,Aged 25 to 34 years,203
E01002452,Hillingdon 014C,4,Aged 35 to 49 years,325
E01002452,Hillingdon 014C,5,Aged 50 years and over,536
E01002453,Hillingdon 014D,1,Aged 15 years and under,404
E01002453,Hillingdon 014D,2,Aged 16 to 24 years,181
E01002453,Hillingdon 014D,3,Aged 25 to 34 years,227
E01002453,Hillingdon 014D,4,Aged 35 to 49 years,435
E01002453,Hillingdon 014D,5,Aged 50 years and over,537
E01002454,Hillingdon 014E,1,Aged 15 years and under,477
E01002454,Hillingdon 014E,2,Aged 16 to 24 years,214
E01002454,Hillingdon 014E,3,Aged 25 to 34 years,229
E01002454,Hillingdon 014E,4,Aged 35 to 49 years,445
E01002454,Hillingdon 014E,5,Aged 50 years and over,554
E01002455,Hillingdon 019D,1,Aged 15 years and under,482
E01002455,Hillingdon 019D,2,Aged 16 to 24 years,195
E01002455,Hillingdon 019D,3,Aged 25 to 34 years,265
E01002455,Hillingdon 019D,4,Aged 35 to 49 years,475
E01002455,Hillingdon 019D,5,Aged 50 years and over,565
E01002456,Hillingdon 017C,1,Aged 15 years and under,398
E01002456,Hillingdon 017C,2,Aged 16 to 24 years,169
E01002456,Hillingdon 017C,3,Aged 25 to 34 years,200
E01002456,Hillingdon 017C,4,Aged 35 to 49 years,386
E01002456,Hillingdon 017C,5,Aged 50 years and over,582
E01002457,Hillingdon 019E,1,Aged 15 years and under,358
E01002457,Hillingdon 019E,2,Aged 16 to 24 years,223
E01002457,Hillingdon 019E,3,Aged 25 to 34 years,245
E01002457,Hillingdon 019E,4,Aged 35 to 49 years,347
E01002457,Hillingdon 019E,5,Aged 50 years and over,435
E01002458,Hillingdon 011A,1,Aged 15 years and under,267
E01002458,Hillingdon 011A,2,Aged 16 to 24 years,113
E01002458,Hillingdon 011A,3,Aged 25 to 34 years,145
E01002458,Hillingdon 011A,4,Aged 35 to 49 years,263
E01002458,Hillingdon 011A,5,Aged 50 years and over,649
E01002459,Hillingdon 011B,1,Aged 15 years and under,298
E01002459,Hillingdon 011B,2,Aged 16 to 24 years,150
E01002459,Hillingdon 011B,3,Aged 25 to 34 years,114
E01002459,Hillingdon 011B,4,Aged 35 to 49 years,331
E01002459,Hillingdon 011B,5,Aged 50 years and over,774
E01002460,Hillingdon 011C,1,Aged 15 years and under,242
E01002460,Hillingdon 011C,2,Aged 16 to 24 years,112
E01002460,Hillingdon 011C,3,Aged 25 to 34 years,175
E01002460,Hillingdon 011C,4,Aged 35 to 49 years,281
E01002460,Hillingdon 011C,5,Aged 50 years and over,614
E01002461,Hillingdon 013A,1,Aged 15 years and under,257
E01002461,Hillingdon 013A,2,Aged 16 to 24 years,128
E01002461,Hillingdon 013A,3,Aged 25 to 34 years,168
E01002461,Hillingdon 013A,4,Aged 35 to 49 years,322
E01002461,Hillingdon 013A,5,Aged 50 years and over,636
E01002462,Hillingdon 011D,1,Aged 15 years and under,343
E01002462,Hillingdon 011D,2,Aged 16 to 24 years,120
E01002462,Hillingdon 011D,3,Aged 25 to 34 years,163
E01002462,Hillingdon 011D,4,Aged 35 to 49 years,363
E01002462,Hillingdon 011D,5,Aged 50 years and over,508
E01002463,Hillingdon 013B,1,Aged 15 years and under,244
E01002463,Hillingdon 013B,2,Aged 16 to 24 years,149
E01002463,Hillingdon 013B,3,Aged 25 to 34 years,128
E01002463,Hillingdon 013B,4,Aged 35 to 49 years,273
E01002463,Hillingdon 013B,5,Aged 50 years and over,692
E01002464,Hillingdon 011E,1,Aged 15 years and under,339
E01002464,Hillingdon 011E,2,Aged 16 to 24 years,131
E01002464,Hillingdon 011E,3,Aged 25 to 34 years,173
E01002464,Hillingdon 011E,4,Aged 35 to 49 years,416
E01002464,Hillingdon 011E,5,Aged 50 years and over,559
E01002465,Hillingdon 009A,1,Aged 15 years and under,367
E01002465,Hillingdon 009A,2,Aged 16 to 24 years,157
E01002465,Hillingdon 009A,3,Aged 25 to 34 years,293
E01002465,Hillingdon 009A,4,Aged 35 to 49 years,395
E01002465,Hillingdon 009A,5,Aged 50 years and over,502
E01002466,Hillingdon 010B,1,Aged 15 years and under,358
E01002466,Hillingdon 010B,2,Aged 16 to 24 years,149
E01002466,Hillingdon 010B,3,Aged 25 to 34 years,198
E01002466,Hillingdon 010B,4,Aged 35 to 49 years,402
E01002466,Hillingdon 010B,5,Aged 50 years and over,617
E01002467,Hillingdon 009B,1,Aged 15 years and under,325
E01002467,Hillingdon 009B,2,Aged 16 to 24 years,128
E01002467,Hillingdon 009B,3,Aged 25 to 34 years,142
E01002467,Hillingdon 009B,4,Aged 35 to 49 years,346
E01002467,Hillingdon 009B,5,Aged 50 years and over,663
E01002468,Hillingdon 010C,1,Aged 15 years and under,332
E01002468,Hillingdon 010C,2,Aged 16 to 24 years,163
E01002468,Hillingdon 010C,3,Aged 25 to 34 years,209
E01002468,Hillingdon 010C,4,Aged 35 to 49 years,403
E01002468,Hillingdon 010C,5,Aged 50 years and over,607
E01002469,Hillingdon 010D,1,Aged 15 years and under,276
E01002469,Hillingdon 010D,2,Aged 16 to 24 years,148
E01002469,Hillingdon 010D,3,Aged 25 to 34 years,194
E01002469,Hillingdon 010D,4,Aged 35 to 49 years,339
E01002469,Hillingdon 010D,5,Aged 50 years and over,700
E01002470,Hillingdon 007D,1,Aged 15 years and under,337
E01002470,Hillingdon 007D,2,Aged 16 to 24 years,165
E01002470,Hillingdon 007D,3,Aged 25 to 34 years,255
E01002470,Hillingdon 007D,4,Aged 35 to 49 years,380
E01002470,Hillingdon 007D,5,Aged 50 years and over,697
E01002471,Hillingdon 008E,1,Aged 15 years and under,312
E01002471,Hillingdon 008E,2,Aged 16 to 24 years,130
E01002471,Hillingdon 008E,3,Aged 25 to 34 years,189
E01002471,Hillingdon 008E,4,Aged 35 to 49 years,395
E01002471,Hillingdon 008E,5,Aged 50 years and over,606
E01002472,Hillingdon 002A,1,Aged 15 years and under,278
E01002472,Hillingdon 002A,2,Aged 16 to 24 years,139
E01002472,Hillingdon 002A,3,Aged 25 to 34 years,232
E01002472,Hillingdon 002A,4,Aged 35 to 49 years,381
E01002472,Hillingdon 002A,5,Aged 50 years and over,642
E01002473,Hillingdon 001A,1,Aged 15 years and under,260
E01002473,Hillingdon 001A,2,Aged 16 to 24 years,108
E01002473,Hillingdon 001A,3,Aged 25 to 34 years,162
E01002473,Hillingdon 001A,4,Aged 35 to 49 years,299
E01002473,Hillingdon 001A,5,Aged 50 years and over,854
E01002474,Hillingdon 002B,1,Aged 15 years and under,348
E01002474,Hillingdon 002B,2,Aged 16 to 24 years,127
E01002474,Hillingdon 002B,3,Aged 25 to 34 years,209
E01002474,Hillingdon 002B,4,Aged 35 to 49 years,402
E01002474,Hillingdon 002B,5,Aged 50 years and over,655
E01002475,Hillingdon 001B,1,Aged 15 years and under,298
E01002475,Hillingdon 001B,2,Aged 16 to 24 years,101
E01002475,Hillingdon 001B,3,Aged 25 to 34 years,168
E01002475,Hillingdon 001B,4,Aged 35 to 49 years,333
E01002475,Hillingdon 001B,5,Aged 50 years and over,733
E01002476,Hillingdon 001C,1,Aged 15 years and under,277
E01002476,Hillingdon 001C,2,Aged 16 to 24 years,118
E01002476,Hillingdon 001C,3,Aged 25 to 34 years,164
E01002476,Hillingdon 001C,4,Aged 35 to 49 years,322
E01002476,Hillingdon 001C,5,Aged 50 years and over,750
E01002477,Hillingdon 001D,1,Aged 15 years and under,238
E01002477,Hillingdon 001D,2,Aged 16 to 24 years,80
E01002477,Hillingdon 001D,3,Aged 25 to 34 years,148
E01002477,Hillingdon 001D,4,Aged 35 to 49 years,307
E01002477,Hillingdon 001D,5,Aged 50 years and over,578
E01002478,Hillingdon 002C,1,Aged 15 years and under,315
E01002478,Hillingdon 002C,2,Aged 16 to 24 years,116
E01002478,Hillingdon 002C,3,Aged 25 to 34 years,210
E01002478,Hillingdon 002C,4,Aged 35 to 49 years,351
E01002478,Hillingdon 002C,5,Aged 50 years and over,607
E01002479,Hillingdon 004C,1,Aged 15 years and under,389
E01002479,Hillingdon 004C,2,Aged 16 to 24 years,169
E01002479,Hillingdon 004C,3,Aged 25 to 34 years,235
E01002479,Hillingdon 004C,4,Aged 35 to 49 years,404
E01002479,Hillingdon 004C,5,Aged 50 years and over,645
E01002480,Hillingdon 004D,1,Aged 15 years and under,373
E01002480,Hillingdon 004D,2,Aged 16 to 24 years,131
E01002480,Hillingdon 004D,3,Aged 25 to 34 years,176
E01002480,Hillingdon 004D,4,Aged 35 to 49 years,427
E01002480,Hillingdon 004D,5,Aged 50 years and over,751
E01002481,Hillingdon 004E,1,Aged 15 years and under,313
E01002481,Hillingdon 004E,2,Aged 16 to 24 years,157
E01002481,Hillingdon 004E,3,Aged 25 to 34 years,204
E01002481,Hillingdon 004E,4,Aged 35 to 49 years,324
E01002481,Hillingdon 004E,5,Aged 50 years and over,644
E01002482,Hillingdon 001E,1,Aged 15 years and under,295
E01002482,Hillingdon 001E,2,Aged 16 to 24 years,141
E01002482,Hillingdon 001E,3,Aged 25 to 34 years,127
E01002482,Hillingdon 001E,4,Aged 35 to 49 years,355
E01002482,Hillingdon 001E,5,Aged 50 years and over,746
E01002483,Hillingdon 002D,1,Aged 15 years and under,387
E01002483,Hillingdon 002D,2,Aged 16 to 24 years,158
E01002483,Hillingdon 002D,3,Aged 25 to 34 years,275
E01002483,Hillingdon 002D,4,Aged 35 to 49 years,460
E01002483,Hillingdon 002D,5,Aged 50 years and over,664
E01002484,Hillingdon 002E,1,Aged 15 years and under,287
E01002484,Hillingdon 002E,2,Aged 16 to 24 years,120
E01002484,Hillingdon 002E,3,Aged 25 to 34 years,202
E01002484,Hillingdon 002E,4,Aged 35 to 49 years,314
E01002484,Hillingdon 002E,5,Aged 50 years and over,505
E01002485,Hillingdon 002F,1,Aged 15 years and under,416
E01002485,Hillingdon 002F,2,Aged 16 to 24 years,183
E01002485,Hillingdon 002F,3,Aged 25 to 34 years,322
E01002485,Hillingdon 002F,4,Aged 35 to 49 years,483
E01002485,Hillingdon 002F,5,Aged 50 years and over,627
E01002486,Hillingdon 028A,1,Aged 15 years and under,511
E01002486,Hillingdon 028A,2,Aged 16 to 24 years,308
E01002486,Hillingdon 028A,3,Aged 25 to 34 years,328
E01002486,Hillingdon 028A,4,Aged 35 to 49 years,511
E01002486,Hillingdon 028A,5,Aged 50 years and over,585
E01002487,Hillingdon 028B,1,Aged 15 years and under,402
E01002487,Hillingdon 028B,2,Aged 16 to 24 years,220
E01002487,Hillingdon 028B,3,Aged 25 to 34 years,308
E01002487,Hillingdon 028B,4,Aged 35 to 49 years,461
E01002487,Hillingdon 028B,5,Aged 50 years and over,531
E01002488,Hillingdon 030B,1,Aged 15 years and under,379
E01002488,Hillingdon 030B,2,Aged 16 to 24 years,217
E01002488,Hillingdon 030B,3,Aged 25 to 34 years,270
E01002488,Hillingdon 030B,4,Aged 35 to 49 years,383
E01002488,Hillingdon 030B,5,Aged 50 years and over,516
E01002489,Hillingdon 030C,1,Aged 15 years and under,382
E01002489,Hillingdon 030C,2,Aged 16 to 24 years,254
E01002489,Hillingdon 030C,3,Aged 25 to 34 years,299
E01002489,Hillingdon 030C,4,Aged 35 to 49 years,473
E01002489,Hillingdon 030C,5,Aged 50 years and over,526
E01002490,Hillingdon 030D,1,Aged 15 years and under,436
E01002490,Hillingdon 030D,2,Aged 16 to 24 years,264
E01002490,Hillingdon 030D,3,Aged 25 to 34 years,297
E01002490,Hillingdon 030D,4,Aged 35 to 49 years,531
E01002490,Hillingdon 030D,5,Aged 50 years and over,609
E01002491,Hillingdon 032D,1,Aged 15 years and under,425
E01002491,Hillingdon 032D,2,Aged 16 to 24 years,218
E01002491,Hillingdon 032D,3,Aged 25 to 34 years,257
E01002491,Hillingdon 032D,4,Aged 35 to 49 years,371
E01002491,Hillingdon 032D,5,Aged 50 years and over,451
E01002492,Hillingdon 030E,1,Aged 15 years and under,351
E01002492,Hillingdon 030E,2,Aged 16 to 24 years,210
E01002492,Hillingdon 030E,3,Aged 25 to 34 years,273
E01002492,Hillingdon 030E,4,Aged 35 to 49 years,385
E01002492,Hillingdon 030E,5,Aged 50 years and over,481
E01002493,Hillingdon 032E,1,Aged 15 years and under,594
E01002493,Hillingdon 032E,2,Aged 16 to 24 years,198
E01002493,Hillingdon 032E,3,Aged 25 to 34 years,278
E01002493,Hillingdon 032E,4,Aged 35 to 49 years,478
E01002493,Hillingdon 032E,5,Aged 50 years and over,452
E01002494,Hillingdon 009C,1,Aged 15 years and under,402
E01002494,Hillingdon 009C,2,Aged 16 to 24 years,171
E01002494,Hillingdon 009C,3,Aged 25 to 34 years,239
E01002494,Hillingdon 009C,4,Aged 35 to 49 years,444
E01002494,Hillingdon 009C,5,Aged 50 years and over,543
E01002495,Hillingdon 010E,1,Aged 15 years and under,412
E01002495,Hillingdon 010E,2,Aged 16 to 24 years,160
E01002495,Hillingdon 010E,3,Aged 25 to 34 years,346
E01002495,Hillingdon 010E,4,Aged 35 to 49 years,483
E01002495,Hillingdon 010E,5,Aged 50 years and over,479
E01002496,Hillingdon 033A,1,Aged 15 years and under,431
E01002496,Hillingdon 033A,2,Aged 16 to 24 years,156
E01002496,Hillingdon 033A,3,Aged 25 to 34 years,279
E01002496,Hillingdon 033A,4,Aged 35 to 49 years,533
E01002496,Hillingdon 033A,5,Aged 50 years and over,561
E01002497,Hillingdon 033B,1,Aged 15 years and under,528
E01002497,Hillingdon 033B,2,Aged 16 to 24 years,200
E01002497,Hillingdon 033B,3,Aged 25 to 34 years,508
E01002497,Hillingdon 033B,4,Aged 35 to 49 years,616
E01002497,Hillingdon 033B,5,Aged 50 years and over,627
E01002498,Hillingdon 033C,1,Aged 15 years and under,255
E01002498,Hillingdon 033C,2,Aged 16 to 24 years,129
E01002498,Hillingdon 033C,3,Aged 25 to 34 years,160
E01002498,Hillingdon 033C,4,Aged 35 to 49 years,316
E01002498,Hillingdon 033C,5,Aged 50 years and over,554
E01002499,Hillingdon 033D,1,Aged 15 years and under,380
E01002499,Hillingdon 033D,2,Aged 16 to 24 years,253
E01002499,Hillingdon 033D,3,Aged 25 to 34 years,364
E01002499,Hillingdon 033D,4,Aged 35 to 49 years,453
E01002499,Hillingdon 033D,5,Aged 50 years and over,606
E01002501,Hillingdon 026B,1,Aged 15 years and under,329
E01002501,Hillingdon 026B,2,Aged 16 to 24 years,247
E01002501,Hillingdon 026B,3,Aged 25 to 34 years,209
E01002501,Hillingdon 026B,4,Aged 35 to 49 years,424
